investor_name,issuer,rank,cusip,value,weight
"Viking Global Investors LP","VISA INC",1,92826C839,1481419097,5.4261
"Viking Global Investors LP","UNITED PARCEL SERVICE INC",2,911312106,1289148738,4.7219
"Viking Global Investors LP","API GROUP CORP",3,00187Y100,1186877399,4.3473
"Viking Global Investors LP","WORKDAY INC",4,98138H101,1133701951,4.1525
"Viking Global Investors LP","META PLATFORMS INC",5,30303M102,1058918417,3.8786
"Viking Global Investors LP","MCKESSON CORP",6,58155Q103,1033929251,3.7871
"Viking Global Investors LP","BRIDGEBIO PHARMA INC",7,10806X102,1014134407,3.7146
"Viking Global Investors LP","PROGRESSIVE CORP",8,743315103,933947678,3.4209
"Viking Global Investors LP","DANAHER CORPORATION",9,235851102,926404963,3.3932
"Viking Global Investors LP","PHILIP MORRIS INTL INC",10,718172109,905420934,3.3164
"Viking Global Investors LP","ROIVANT SCIENCES LTD",11,G76279101,779013432,2.8534
"Viking Global Investors LP","FORTIVE CORP",12,34959J108,775016421,2.8387
"Viking Global Investors LP","AMAZON COM INC",13,023135106,749010869,2.7435
"Viking Global Investors LP","AMERIPRISE FINL INC",14,03076C106,727136676,2.6634
"Viking Global Investors LP","ADVANCED MICRO DEVICES INC",15,007903107,698339987,2.5579
"Viking Global Investors LP","HDFC BANK LTD",16,40415F101,653704081,2.3944
"Viking Global Investors LP","GENERAL ELECTRIC CO",17,369604301,649176977,2.3778
"Viking Global Investors LP","DEERE & CO",18,244199105,562441947,2.0601
"Viking Global Investors LP","MASTERCARD INCORPORATED",19,57636Q104,493570594,1.8079
"Viking Global Investors LP","BIOMARIN PHARMACEUTICAL INC",20,09061G101,471441155,1.7268
"Viking Global Investors LP","FREEPORT-MCMORAN INC",21,35671D857,470537023,1.7235
"Viking Global Investors LP","ALPHABET INC",22,02079K305,460063567,1.6851
"Viking Global Investors LP","CBOE GLOBAL MKTS INC",23,12503M108,430775821,1.5778
"Viking Global Investors LP","US BANCORP DEL",24,902973304,414173933,1.5170
"Viking Global Investors LP","RAYZEBIO INC",25,75525N107,412976659,1.5127
"Viking Global Investors LP","TAKE-TWO INTERACTIVE SOFTWAR",26,874054109,388249062,1.4221
"Viking Global Investors LP","LAMB WESTON HLDGS INC",27,513272104,383219692,1.4037
"Viking Global Investors LP","METLIFE INC",28,59156R108,371422848,1.3604
"Viking Global Investors LP","CBRE GROUP INC",29,12504L109,354631475,1.2989
"Viking Global Investors LP","DOORDASH INC",30,25809K105,345033737,1.2638
"Viking Global Investors LP","INTUITIVE SURGICAL INC",31,46120E602,314245442,1.1510
"Viking Global Investors LP","THERMO FISHER SCIENTIFIC INC",32,883556102,285822453,1.0469
"Viking Global Investors LP","ROYALTY PHARMA PLC",33,G7709Q104,283355544,1.0379
"Viking Global Investors LP","INHIBRX INC",34,45720L107,271731388,0.9953
"Viking Global Investors LP","COUPANG INC",35,22266T109,250861929,0.9189
"Viking Global Investors LP","UNITEDHEALTH GROUP INC",36,91324P102,242587900,0.8886
"Viking Global Investors LP","T-MOBILE US INC",37,872590104,242098140,0.8868
"Viking Global Investors LP","GINKGO BIOWORKS HOLDINGS INC",38,37611X100,241813863,0.8857
"Viking Global Investors LP","EVEREST GROUP LTD",39,G3223R108,230640941,0.8448
"Viking Global Investors LP","ACADIA HEALTHCARE COMPANY IN",40,00404A109,217755216,0.7976
"Viking Global Investors LP","FIVE9 INC",41,338307101,213573867,0.7823
